,Airline,Total_Stops,Price,j_month,j_date,a_total_min,d_total_min,dur_min,dur_hour,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,s_Banglore,s_Chennai,s_Delhi,s_Kolkata,s_Mumbai
98,4,0,8040,6,18,510,425,25,1,0,0,0,1,0,0,0,0,0,0,1
99,4,2,14300,6,12,755,1200,35,16,0,1,0,0,0,0,0,0,1,0,0
100,4,1,14781,5,15,1245,505,20,12,1,0,0,0,0,0,0,0,0,1,0
101,4,1,14939,6,9,495,1200,15,12,1,0,0,0,0,0,0,0,0,1,0
102,4,1,10262,6,24,265,1255,30,7,0,1,0,0,0,0,0,0,1,0,0
103,1,1,6528,5,12,875,875,0,24,1,0,0,0,0,0,0,0,0,1,0
104,1,0,6121,5,1,535,370,45,2,0,0,1,0,0,0,1,0,0,0,0
105,4,2,13029,5,18,265,1170,55,8,0,1,0,0,0,0,0,0,1,0,0
106,6,1,11421,3,27,1130,700,10,7,0,1,0,0,0,0,0,0,1,0,0
107,6,1,7574,3,27,1155,285,30,14,0,1,0,0,0,0,0,0,1,0,0
108,1,2,11596,5,9,1155,775,20,30,0,1,0,0,0,0,0,0,1,0,0
109,4,2,15129,5,24,1140,1385,55,19,0,1,0,0,0,0,0,0,1,0,0
110,4,1,13555,3,18,305,845,0,15,0,0,0,0,0,1,1,0,0,0,0
111,3,0,5780,4,12,1310,1135,55,2,0,0,1,0,0,0,1,0,0,0,0
112,10,1,9397,5,12,545,1220,45,12,1,0,0,0,0,0,0,0,0,1,0
113,4,1,17024,3,6,265,1095,10,10,0,1,0,0,0,0,0,0,1,0,0
114,2,1,5281,6,27,775,420,55,5,0,1,0,0,0,0,0,0,1,0,0
115,6,1,10348,5,18,1350,425,25,15,0,1,0,0,0,0,0,0,1,0,0
116,1,1,12677,3,6,565,1040,5,16,0,1,0,0,0,0,0,0,1,0,0
117,6,1,15147,3,3,95,925,10,10,0,1,0,0,0,0,0,0,1,0,0
118,10,0,4668,6,12,580,420,40,2,0,0,1,0,0,0,1,0,0,0,0
119,4,1,15554,5,9,1140,425,55,11,0,1,0,0,0,0,0,0,1,0,0
120,8,0,3971,4,9,515,355,40,2,0,0,1,0,0,0,1,0,0,0,0
121,1,0,3100,5,3,985,900,25,1,0,0,0,1,0,0,0,0,0,0,1
122,4,1,9663,5,6,605,1200,5,14,1,0,0,0,0,0,0,0,0,1,0
123,1,1,27430,3,1,1155,1380,15,20,0,1,0,0,0,0,0,0,1,0,0
124,3,0,3540,5,12,460,315,25,2,0,0,0,0,1,0,0,1,0,0,0
125,1,2,10676,5,21,670,720,10,23,1,0,0,0,0,0,0,0,0,1,0
126,4,1,13044,6,12,495,845,10,18,1,0,0,0,0,0,0,0,0,1,0
127,4,1,14388,5,6,720,1200,0,16,1,0,0,0,0,0,0,0,0,1,0
128,3,0,3943,6,24,410,240,50,2,0,0,1,0,0,0,1,0,0,0,0
129,3,0,3597,6,3,1025,885,20,2,0,0,0,0,1,0,0,1,0,0,0
130,1,1,5932,3,21,1190,710,0,8,0,0,0,0,0,1,1,0,0,0,0
131,4,1,10262,6,15,265,690,55,16,0,1,0,0,0,0,0,0,1,0,0
132,10,0,6216,5,12,1070,880,10,3,0,1,0,0,0,0,0,0,1,0,0
133,3,0,4804,6,15,1390,1225,45,2,1,0,0,0,0,0,0,0,0,1,0
134,6,1,14067,5,21,90,690,0,14,0,1,0,0,0,0,0,0,1,0,0
135,4,2,15129,5,18,1140,1150,50,23,0,1,0,0,0,0,0,0,1,0,0
136,4,2,13376,6,6,265,405,40,21,0,1,0,0,0,0,0,0,1,0,0
137,1,2,10441,6,27,1155,1320,15,21,0,1,0,0,0,0,0,0,1,0,0
138,4,0,4030,5,24,525,360,45,2,0,0,1,0,0,0,1,0,0,0,0
139,4,1,17024,3,3,1130,480,50,10,0,1,0,0,0,0,0,0,1,0,0
140,6,1,13017,4,9,90,1050,0,8,0,1,0,0,0,0,0,0,1,0,0
141,2,1,6686,6,6,465,1410,15,8,1,0,0,0,0,0,0,0,0,1,0
142,3,1,5636,6,15,445,120,25,5,0,1,0,0,0,0,0,0,1,0,0
143,3,1,6442,6,9,970,455,35,8,0,1,0,0,0,0,0,0,1,0,0
144,6,1,9486,5,21,55,785,50,11,0,1,0,0,0,0,0,0,1,0,0
145,4,1,10844,5,21,1415,1200,35,27,1,0,0,0,0,0,0,0,0,1,0
146,4,2,15318,6,3,265,1200,25,8,0,1,0,0,0,0,0,0,1,0,0
147,1,1,5117,4,3,565,750,55,20,0,1,0,0,0,0,0,0,1,0,0
148,3,1,6147,6,24,1200,910,50,4,0,1,0,0,0,0,0,0,1,0,0
149,6,1,7005,6,9,1260,770,10,8,0,1,0,0,0,0,0,0,1,0,0
150,8,0,3873,4,3,40,1340,20,2,1,0,0,0,0,0,0,0,0,1,0
151,4,2,9270,3,21,1130,1105,25,24,0,1,0,0,0,0,0,0,1,0,0
152,2,0,3898,6,27,870,700,50,2,0,0,1,0,0,0,1,0,0,0,0
153,4,1,14781,5,12,1245,505,20,12,1,0,0,0,0,0,0,0,0,1,0
154,4,1,8586,5,24,495,1200,15,12,1,0,0,0,0,0,0,0,0,1,0
155,1,2,10697,5,9,475,500,35,23,1,0,0,0,0,0,0,0,0,1,0
156,4,2,14300,6,27,755,1200,35,16,0,1,0,0,0,0,0,0,1,0,0
157,3,0,8855,3,3,1305,1135,50,2,0,0,0,0,0,1,1,0,0,0,0
158,4,1,10844,5,12,1095,990,45,25,1,0,0,0,0,0,0,0,0,1,0
159,4,1,17024,3,6,265,135,10,26,0,1,0,0,0,0,0,0,1,0,0
160,4,1,9314,5,1,865,575,50,28,1,0,0,0,0,0,0,0,0,1,0
161,3,0,4777,3,24,205,40,45,2,0,0,0,0,0,1,1,0,0,0,0
162,1,1,7662,6,9,795,720,15,25,1,0,0,0,0,0,0,0,0,1,0
163,3,1,6442,5,9,970,410,20,9,0,1,0,0,0,0,0,0,1,0,0
164,8,1,5264,6,12,795,525,30,4,0,1,0,0,0,0,0,0,1,0,0
165,4,1,12898,5,27,265,780,25,15,0,1,0,0,0,0,0,0,1,0,0
166,1,0,6092,3,3,925,835,30,1,0,0,0,1,0,0,0,0,0,0,1
167,8,0,3311,5,21,515,355,40,2,0,0,1,0,0,0,1,0,0,0,0
168,4,1,6540,3,27,265,1155,10,9,0,1,0,0,0,0,0,0,1,0,0
169,3,0,3419,5,27,255,90,45,2,0,0,1,0,0,0,1,0,0,0,0
170,4,1,5177,4,3,755,840,35,22,0,1,0,0,0,0,0,0,1,0,0
171,1,0,8246,4,18,1270,1085,5,3,0,1,0,0,0,0,0,0,1,0,0
172,4,1,14676,6,9,1265,575,30,11,1,0,0,0,0,0,0,0,0,1,0
173,6,1,13587,6,27,1260,690,30,9,0,1,0,0,0,0,0,0,1,0,0
174,4,1,9663,5,6,560,1270,10,12,1,0,0,0,0,0,0,0,0,1,0
175,4,1,13044,6,12,605,990,35,17,1,0,0,0,0,0,0,0,0,1,0
176,3,1,5073,4,3,90,1225,5,5,0,1,0,0,0,0,0,0,1,0,0
177,10,1,9345,5,21,1130,1020,50,25,1,0,0,0,0,0,0,0,0,1,0
178,4,1,9663,5,6,605,845,0,20,1,0,0,0,0,0,0,0,0,1,0
179,6,1,14277,5,21,1260,480,0,13,0,1,0,0,0,0,0,0,1,0,0
180,4,1,10262,6,1,265,600,25,18,0,1,0,0,0,0,0,0,1,0,0
181,4,0,5678,3,27,1265,1175,30,1,0,0,0,1,0,0,0,0,0,0,1
182,6,1,13727,5,15,90,960,30,9,0,1,0,0,0,0,0,0,1,0,0
183,4,1,9663,5,6,720,1200,0,16,1,0,0,0,0,0,0,0,0,1,0
184,3,0,3858,5,12,1025,885,20,2,0,0,0,0,1,0,0,1,0,0,0
185,8,1,4812,6,24,795,525,30,4,0,1,0,0,0,0,0,0,1,0,0
186,3,1,5775,6,27,215,1310,45,5,0,1,0,0,0,0,0,0,1,0,0
187,4,1,10539,6,6,585,575,10,24,1,0,0,0,0,0,0,0,0,1,0
188,3,0,4804,6,3,1085,930,35,2,1,0,0,0,0,0,0,0,0,1,0
189,0,0,3383,6,12,835,670,45,2,0,0,1,0,0,0,1,0,0,0,0
190,3,1,8738,3,3,1025,730,55,4,0,0,0,0,0,1,1,0,0,0,0
191,1,1,7165,3,27,410,315,35,25,0,1,0,0,0,0,0,0,1,0,0
192,3,1,6412,6,24,1350,970,20,6,0,1,0,0,0,0,0,0,1,0,0
193,4,0,8016,6,27,1320,1135,5,3,0,0,1,0,0,0,1,0,0,0,0
194,4,1,11087,3,12,915,1235,40,18,0,0,0,0,0,1,1,0,0,0,0
195,8,0,3543,6,27,720,585,15,2,0,0,0,0,1,0,0,1,0,0,0
196,4,1,12471,6,12,280,990,10,12,1,0,0,0,0,0,0,0,0,1,0
197,4,1,10262,6,24,265,540,25,19,0,1,0,0,0,0,0,0,1,0,0
198,1,0,4441,3,18,970,800,50,2,0,0,0,0,0,1,1,0,0,0,0
199,6,1,12537,3,27,930,425,25,8,0,1,0,0,0,0,0,0,1,0,0
200,2,1,10091,3,24,460,1345,15,9,1,0,0,0,0,0,0,0,0,1,0
201,1,0,6961,6,3,1435,1265,50,2,0,0,1,0,0,0,1,0,0,0,0
202,3,0,5013,4,24,530,335,15,3,0,1,0,0,0,0,0,0,1,0,0
203,1,0,6934,5,18,480,310,50,2,0,1,0,0,0,0,0,0,1,0,0
204,6,1,10877,6,3,1140,400,20,12,0,1,0,0,0,0,0,0,1,0,0
205,4,0,7229,4,18,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
206,3,1,7048,3,27,95,960,35,9,0,1,0,0,0,0,0,0,1,0,0
207,10,0,4878,6,27,1175,1020,35,2,0,0,1,0,0,0,1,0,0,0,0
208,4,1,10844,5,21,1415,845,30,9,1,0,0,0,0,0,0,0,0,1,0
209,4,2,15129,5,18,265,1385,20,29,0,1,0,0,0,0,0,0,1,0,0
210,3,0,3943,5,12,205,30,55,2,0,0,1,0,0,0,1,0,0,0,0
211,8,1,5583,6,6,680,365,15,5,0,1,0,0,0,0,0,0,1,0,0
212,6,1,9646,6,6,970,425,5,9,0,1,0,0,0,0,0,0,1,0,0
213,6,1,7677,6,3,1155,510,45,10,0,1,0,0,0,0,0,0,1,0,0
214,3,1,6842,6,1,605,310,55,4,0,1,0,0,0,0,0,0,1,0,0
215,4,0,4995,6,24,615,525,30,1,0,0,0,1,0,0,0,0,0,0,1
216,10,1,9555,6,9,1130,430,40,11,1,0,0,0,0,0,0,0,0,1,0
217,3,0,4077,6,1,255,90,45,2,0,0,1,0,0,0,1,0,0,0,0
218,4,0,7229,5,12,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
219,6,1,12192,6,9,1140,540,0,10,0,1,0,0,0,0,0,0,1,0,0
220,1,0,5911,4,12,765,600,45,2,0,0,1,0,0,0,1,0,0,0,0
221,1,1,8372,6,12,1155,540,15,10,0,1,0,0,0,0,0,0,1,0,0
222,4,0,4995,3,18,515,430,25,1,0,0,0,1,0,0,0,0,0,0,1
223,6,1,14323,5,9,1155,600,15,9,0,1,0,0,0,0,0,0,1,0,0
224,4,2,13014,6,9,265,330,55,22,0,1,0,0,0,0,0,0,1,0,0
225,1,2,13591,6,6,1155,865,50,28,0,1,0,0,0,0,0,0,1,0,0
226,4,2,18799,3,3,1130,325,25,37,0,1,0,0,0,0,0,0,1,0,0
227,3,0,3943,4,27,140,1410,50,2,0,0,1,0,0,0,1,0,0,0,0
228,8,0,1965,5,21,435,345,30,1,0,0,0,1,0,0,0,0,0,0,1
229,4,0,4995,5,27,710,620,30,1,0,0,0,1,0,0,0,0,0,0,1
230,1,1,14641,3,24,1110,1010,40,25,1,0,0,0,0,0,0,0,0,1,0
231,1,0,4460,4,12,1400,1245,35,2,1,0,0,0,0,0,0,0,0,1,0
232,1,1,10191,5,18,1155,780,15,6,0,1,0,0,0,0,0,0,1,0,0
233,4,1,13843,3,9,1185,135,30,17,0,1,0,0,0,0,0,0,1,0,0
234,3,1,6349,5,1,215,1310,45,5,0,1,0,0,0,0,0,0,1,0,0
235,0,0,4409,5,1,775,620,35,2,1,0,0,0,0,0,0,0,0,1,0
236,4,1,17024,3,6,1185,1095,30,25,0,1,0,0,0,0,0,0,1,0,0
237,6,1,13727,5,18,1260,425,55,13,0,1,0,0,0,0,0,0,1,0,0
238,3,0,8855,3,15,1280,1105,55,2,0,0,0,0,0,1,1,0,0,0,0
239,6,1,12524,6,24,1140,525,15,10,0,1,0,0,0,0,0,0,1,0,0
240,4,1,13555,3,18,1220,700,40,8,0,0,0,0,0,1,1,0,0,0,0
241,4,1,10844,6,6,720,390,30,5,1,0,0,0,0,0,0,0,0,1,0
242,6,1,13587,6,9,1260,540,0,12,0,1,0,0,0,0,0,0,1,0,0
243,8,0,3543,6,12,720,585,15,2,0,0,0,0,1,0,0,1,0,0,0
244,10,0,4842,3,18,560,425,15,2,0,0,0,0,1,0,0,1,0,0,0
245,3,0,3943,4,24,140,1410,50,2,0,0,1,0,0,0,1,0,0,0,0
246,4,1,10577,6,9,265,1155,10,9,0,1,0,0,0,0,0,0,1,0,0
247,3,1,6979,5,15,1260,635,25,10,0,1,0,0,0,0,0,0,1,0,0
248,10,0,11982,6,27,1205,1065,20,2,0,0,0,0,1,0,0,1,0,0,0
249,8,1,5264,6,6,795,525,30,4,0,1,0,0,0,0,0,0,1,0,0
250,10,0,8001,3,3,550,360,10,3,0,1,0,0,0,0,0,0,1,0,0
251,1,2,10651,6,1,1155,1185,30,23,0,1,0,0,0,0,0,0,1,0,0
252,4,1,10844,5,24,1190,990,20,27,1,0,0,0,0,0,0,0,0,1,0
253,6,1,6601,3,27,1340,585,35,12,0,1,0,0,0,0,0,0,1,0,0
254,1,1,6587,3,21,1155,1140,15,24,0,1,0,0,0,0,0,0,1,0,0
255,8,0,3173,3,21,870,790,20,1,0,0,0,1,0,0,0,0,0,0,1
256,1,0,5228,5,9,765,600,45,2,0,0,1,0,0,0,1,0,0,0,0
257,4,0,5769,6,21,610,430,0,3,0,0,1,0,0,0,1,0,0,0,0
258,4,1,14714,6,6,1140,480,0,11,0,1,0,0,0,0,0,0,1,0,0
259,4,2,13014,6,3,1140,330,30,13,0,1,0,0,0,0,0,0,1,0,0
260,3,0,3359,6,3,60,1330,50,2,0,0,1,0,0,0,1,0,0,0,0
261,2,0,6722,3,3,1430,1255,55,2,0,0,0,0,0,1,1,0,0,0,0
262,3,0,4462,3,18,740,575,45,2,1,0,0,0,0,0,0,0,0,1,0
263,3,1,6171,3,9,970,295,15,11,0,1,0,0,0,0,0,0,1,0,0
264,1,2,12303,5,21,1225,350,35,14,1,0,0,0,0,0,0,0,0,1,0
265,6,1,7695,3,21,95,700,55,13,0,1,0,0,0,0,0,0,1,0,0
266,3,1,5684,6,24,90,685,5,14,0,1,0,0,0,0,0,0,1,0,0
267,1,1,8366,6,12,475,1010,5,15,1,0,0,0,0,0,0,0,0,1,0
268,1,0,19630,3,1,835,700,15,2,0,0,0,0,1,0,0,1,0,0,0
269,4,1,13502,3,6,305,845,0,15,0,0,0,0,0,1,1,0,0,0,0
270,4,1,14781,5,1,605,1270,55,12,1,0,0,0,0,0,0,0,0,1,0
271,6,1,6513,6,12,970,430,0,9,0,1,0,0,0,0,0,0,1,0,0
272,1,1,9929,6,1,1155,420,15,12,0,1,0,0,0,0,0,0,1,0,0
273,6,2,18275,6,6,90,1070,40,7,0,1,0,0,0,0,0,0,1,0,0
274,1,1,4487,4,9,565,365,20,27,0,1,0,0,0,0,0,0,1,0,0
275,3,0,2754,3,15,1365,1280,25,1,0,0,0,1,0,0,0,0,0,0,1
276,1,0,2575,3,27,460,380,20,1,0,0,0,1,0,0,0,0,0,0,1
277,8,1,8224,6,12,1285,955,30,5,1,0,0,0,0,0,0,0,0,1,0
278,1,1,8991,3,9,495,1230,45,11,0,1,0,0,0,0,0,0,1,0,0
279,3,0,5000,6,24,530,335,15,3,0,1,0,0,0,0,0,0,1,0,0
280,4,1,8529,6,12,1190,1135,55,24,1,0,0,0,0,0,0,0,0,1,0
281,1,1,14042,3,3,565,365,20,27,0,1,0,0,0,0,0,0,1,0,0
282,4,0,4030,5,24,845,670,55,2,0,0,1,0,0,0,1,0,0,0,0
283,4,1,10844,6,6,720,1135,5,17,1,0,0,0,0,0,0,0,0,1,0
284,3,0,4804,5,6,5,1285,40,2,1,0,0,0,0,0,0,0,0,1,0
285,6,1,7308,5,27,90,1050,0,8,0,1,0,0,0,0,0,0,1,0,0
286,3,0,4823,5,12,1195,1015,0,3,0,0,1,0,0,0,1,0,0,0,0
287,4,1,10262,6,24,755,540,35,27,0,1,0,0,0,0,0,0,1,0,0
288,4,1,12898,5,27,265,1255,30,7,0,1,0,0,0,0,0,0,1,0,0
289,1,2,12778,3,12,980,1045,55,22,0,0,0,0,0,1,1,0,0,0,0
290,3,1,14871,3,3,800,285,35,8,0,1,0,0,0,0,0,0,1,0,0
291,1,2,8708,3,21,1155,800,55,29,0,1,0,0,0,0,0,0,1,0,0
292,4,1,10844,6,6,1095,1200,15,22,1,0,0,0,0,0,0,0,0,1,0
293,8,0,4129,3,6,425,345,20,1,0,0,0,1,0,0,0,0,0,0,1
294,3,0,4804,5,18,5,1285,40,2,1,0,0,0,0,0,0,0,0,1,0
295,4,0,7229,5,6,680,500,0,3,0,0,1,0,0,0,1,0,0,0,0
296,4,1,7832,3,21,1150,420,10,12,0,0,0,0,0,1,1,0,0,0,0
297,8,0,3859,3,18,725,570,35,2,0,0,0,0,1,0,0,1,0,0,0
298,6,1,9001,6,6,1155,450,45,11,0,1,0,0,0,0,0,0,1,0,0
299,10,0,4878,5,9,1175,1020,35,2,0,0,1,0,0,0,1,0,0,0,0
300,3,0,2754,5,3,245,155,30,1,0,0,0,1,0,0,0,0,0,0,1
301,10,0,4668,6,27,580,420,40,2,0,0,1,0,0,0,1,0,0,0,0
302,0,0,5216,5,12,775,620,35,2,1,0,0,0,0,0,0,0,0,1,0
303,4,2,10368,6,6,265,330,55,22,0,1,0,0,0,0,0,0,1,0,0
304,3,2,8146,3,9,1280,400,40,14,0,1,0,0,0,0,0,0,1,0,0
305,4,1,12242,3,27,265,780,25,15,0,1,0,0,0,0,0,0,1,0,0
306,4,1,9134,3,15,915,480,15,7,0,0,0,0,0,1,1,0,0,0,0
307,1,2,10939,6,6,565,795,10,20,0,1,0,0,0,0,0,0,1,0,0
308,1,2,11753,6,6,460,655,45,20,0,1,0,0,0,0,0,0,1,0,0
309,8,0,4174,4,24,1180,1030,30,2,1,0,0,0,0,0,0,0,0,1,0
310,4,1,10844,5,21,1190,1200,50,23,1,0,0,0,0,0,0,0,0,1,0
311,4,1,14714,6,3,1140,960,0,27,0,1,0,0,0,0,0,0,1,0,0
312,4,1,9899,6,12,720,390,30,5,1,0,0,0,0,0,0,0,0,1,0
313,3,1,14871,3,3,1260,550,50,11,0,1,0,0,0,0,0,0,1,0,0
314,3,0,7295,3,6,935,800,15,2,0,0,0,0,1,0,0,1,0,0,0
